rank,engine_version,strategy_mode,config,total_trades,wins,losses,win_rate_pct,total_pl,final_equity,return_pct,max_dd_pct,pl_per_trade,score,db_path,risk_pct,sl_atr_mult,rr,avg_sl_pips,avg_tp_pips,daily_max_losses
1,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.5_RR2.0_DL3,340,119,221,35.0,-754.46,9245.54,-7.54,18.87,-2.219,-0.3999,,0.005,2.5,2.0,14.97,29.93,3
2,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.5_RR2.0_DL2,333,116,217,34.83,-824.24,9175.76,-8.24,18.79,-2.4752,-0.4386,,0.005,2.5,2.0,14.86,29.72,2
3,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.25_RR2.0_DL3,343,122,221,35.57,-651.97,9348.03,-6.52,14.46,-1.9008,-0.4509,,0.005,2.25,2.0,13.46,26.92,3
4,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.01_ATR2.5_RR2.0_DL3,340,119,221,35.0,-1598.35,8401.65,-15.98,34.6,-4.701,-0.4619,,0.01,2.5,2.0,14.97,29.93,3
5,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.25_RR2.0_DL2,337,120,217,35.61,-629.36,9370.64,-6.29,13.54,-1.8675,-0.4648,,0.005,2.25,2.0,13.39,26.77,2
6,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.01_ATR2.5_RR2.0_DL2,333,116,217,34.83,-1721.53,8278.47,-17.22,34.48,-5.1698,-0.4994,,0.01,2.5,2.0,14.86,29.72,2
7,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.25_RR2.5_DL3,332,99,233,29.82,-1018.18,8981.82,-10.18,19.88,-3.0668,-0.5122,,0.005,2.25,2.5,13.37,33.42,3
8,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.01_ATR2.25_RR2.0_DL3,343,122,221,35.57,-1413.59,8586.41,-14.14,27.32,-4.1212,-0.5174,,0.01,2.25,2.0,13.46,26.92,3
9,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.25_RR1.75_DL3,348,134,214,38.51,-792.74,9207.26,-7.93,15.18,-2.278,-0.5223,,0.005,2.25,1.75,13.38,23.42,3
10,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.25_RR1.75_DL2,342,132,210,38.6,-747.62,9252.38,-7.48,14.27,-2.186,-0.5239,,0.005,2.25,1.75,13.31,23.29,2
11,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.01_ATR2.25_RR2.0_DL2,337,120,217,35.61,-1369.56,8630.44,-13.7,25.75,-4.064,-0.5318,,0.01,2.25,2.0,13.39,26.77,2
12,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.25_RR2.5_DL2,325,96,229,29.54,-1148.68,8851.32,-11.49,19.99,-3.5344,-0.5745,,0.005,2.25,2.5,13.27,33.17,2
13,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.01_ATR2.25_RR1.75_DL3,348,134,214,38.51,-1653.1,8346.9,-16.53,28.54,-4.7503,-0.5792,,0.01,2.25,1.75,13.38,23.42,3
14,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.01_ATR2.25_RR1.75_DL2,342,132,210,38.6,-1568.98,8431.02,-15.69,26.95,-4.5877,-0.5822,,0.01,2.25,1.75,13.31,23.29,2
15,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.5_RR1.75_DL3,343,129,214,37.61,-996.05,9003.95,-9.96,17.1,-2.9039,-0.5825,,0.005,2.5,1.75,14.96,26.17,3
16,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.25_RR2.0_DL1,282,97,185,34.4,-1049.37,8950.63,-10.49,17.52,-3.7212,-0.599,,0.005,2.25,2.0,12.89,25.78,1
17,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.0_RR2.5_DL3,344,103,241,29.94,-1196.5,8803.5,-11.96,19.73,-3.4782,-0.6063,,0.005,2.0,2.5,11.93,29.82,3
18,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.5_RR1.75_DL2,336,126,210,37.5,-1030.65,8969.35,-10.31,16.92,-3.0674,-0.6092,,0.005,2.5,1.75,14.85,25.99,2
19,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.5_RR1.75_DL1,282,104,178,36.88,-1128.43,8871.57,-11.28,17.71,-4.0015,-0.6372,,0.005,2.5,1.75,14.34,25.08,1
20,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.25_RR1.75_DL1,288,110,178,38.19,-831.63,9168.37,-8.32,12.78,-2.8876,-0.6508,,0.005,2.25,1.75,12.81,22.42,1
21,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.0_RR2.5_DL2,338,101,237,29.88,-1215.13,8784.87,-12.15,18.65,-3.5951,-0.6514,,0.005,2.0,2.5,11.87,29.68,2
22,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.0_RR3.0_DL1,271,69,202,25.46,-1393.92,8606.08,-13.94,20.99,-5.1436,-0.6641,,0.005,2.0,3.0,11.3,33.89,1
23,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.5_RR2.0_DL1,276,93,183,33.7,-1158.54,8841.46,-11.59,17.16,-4.1976,-0.675,,0.005,2.5,2.0,14.31,28.61,1
24,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.5_RR1.5_DL1,291,119,172,40.89,-1052.16,8947.84,-10.52,15.24,-3.6157,-0.6906,,0.005,2.5,1.5,14.3,21.45,1
25,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.01_ATR2.25_RR1.75_DL1,288,110,178,38.19,-1701.02,8298.98,-17.01,24.39,-5.9063,-0.6973,,0.01,2.25,1.75,12.81,22.42,1
26,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.5_RR2.5_DL1,265,73,192,27.55,-1664.87,8335.13,-16.65,23.47,-6.2825,-0.7094,,0.005,2.5,2.5,14.19,35.47,1
27,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.25_RR2.5_DL1,271,77,194,28.41,-1478.79,8521.21,-14.79,20.81,-5.4568,-0.7105,,0.005,2.25,2.5,12.76,31.92,1
28,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.5_RR1.5_DL3,351,143,208,40.74,-1252.82,8747.18,-12.53,17.12,-3.5693,-0.7319,,0.005,2.5,1.5,14.95,22.43,3
29,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR1.75_RR2.5_DL1,283,81,202,28.62,-1825.41,8174.59,-18.25,24.77,-6.4502,-0.737,,0.005,1.75,2.5,9.98,24.95,1
30,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.0_RR3.0_DL3,334,87,247,26.05,-1279.48,8720.52,-12.79,17.35,-3.8308,-0.7373,,0.005,2.0,3.0,11.85,35.56,3
31,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.5_RR1.5_DL2,344,140,204,40.7,-1254.03,8745.97,-12.54,16.84,-3.6454,-0.7448,,0.005,2.5,1.5,14.85,22.28,2
32,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR1.75_RR2.5_DL2,342,102,240,29.82,-1501.76,8498.24,-15.02,20.1,-4.3911,-0.747,,0.005,1.75,2.5,10.38,25.94,2
33,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.0_RR2.5_DL1,277,79,198,28.52,-1641.23,8358.77,-16.41,21.87,-5.925,-0.7504,,0.005,2.0,2.5,11.36,28.4,1
34,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.5_RR2.5_DL2,316,90,226,28.48,-1482.93,8517.07,-14.83,19.51,-4.6928,-0.7602,,0.005,2.5,2.5,14.74,36.86,2
35,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.0_RR3.0_DL2,328,85,243,25.91,-1340.97,8659.03,-13.41,17.56,-4.0883,-0.7637,,0.005,2.0,3.0,11.79,35.39,2
36,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.0_RR2.0_DL1,286,95,191,33.22,-1689.41,8310.59,-16.89,21.84,-5.907,-0.7737,,0.005,2.0,2.0,11.36,22.73,1
37,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.5_RR2.5_DL3,323,93,230,28.79,-1354.07,8645.93,-13.54,17.43,-4.1922,-0.777,,0.005,2.5,2.5,14.86,37.14,3
38,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR1.75_RR2.5_DL3,348,104,244,29.89,-1486.12,8513.88,-14.86,19.09,-4.2705,-0.7785,,0.005,1.75,2.5,10.43,26.06,3
39,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.25_RR3.0_DL1,261,63,198,24.14,-1752.03,8247.97,-17.52,21.56,-6.7128,-0.8125,,0.005,2.25,3.0,12.84,38.54,1
40,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.0_RR1.75_DL1,291,106,185,36.43,-1646.01,8353.99,-16.46,20.16,-5.6564,-0.8165,,0.005,2.0,1.75,11.41,19.97,1
41,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.25_RR1.5_DL1,292,118,174,40.41,-1347.37,8652.63,-13.47,16.46,-4.6143,-0.8185,,0.005,2.25,1.5,12.88,19.33,1
42,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.25_RR3.0_DL3,318,80,238,25.16,-1512.84,8487.16,-15.13,18.22,-4.7574,-0.8302,,0.005,2.25,3.0,13.36,40.08,3
43,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.25_RR3.0_DL2,311,78,233,25.08,-1532.27,8467.73,-15.32,18.1,-4.9269,-0.8464,,0.005,2.25,3.0,13.24,39.71,2
44,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.0_RR2.0_DL3,349,118,231,33.81,-1695.61,8304.39,-16.96,19.9,-4.8585,-0.8519,,0.005,2.0,2.0,11.88,23.76,3
45,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.0_RR2.0_DL2,343,116,227,33.82,-1672.28,8327.72,-16.72,19.34,-4.8754,-0.8648,,0.005,2.0,2.0,11.83,23.65,2
46,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.5_RR3.0_DL3,308,74,234,24.03,-1911.47,8088.53,-19.11,21.44,-6.2061,-0.8914,,0.005,2.5,3.0,14.89,44.66,3
47,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.25_RR1.5_DL2,347,139,208,40.06,-1652.95,8347.05,-16.53,17.98,-4.7635,-0.9193,,0.005,2.25,1.5,13.4,20.1,2
48,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.0_RR1.75_DL2,350,128,222,36.57,-1818.73,8181.27,-18.19,19.64,-5.1964,-0.9262,,0.005,2.0,1.75,11.89,20.82,2
49,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.25_RR1.5_DL3,354,142,212,40.11,-1654.82,8345.18,-16.55,17.74,-4.6746,-0.9328,,0.005,2.25,1.5,13.49,20.24,3
50,v1_backtest_atr,TREND_ONLY,TREND_ONLY_R0.005_ATR2.0_RR1.75_DL3,356,130,226,36.52,-1861.94,8138.06,-18.62,19.63,-5.2302,-0.9483,,0.005,2.0,1.75,11.95,20.91,3
